"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"age",3,6,2030,1585,0.07135,0.19973,0.19973,-0.2181,-0.1646,0.0536,11.8634,11.3157,1.0484,2.7617,2.7363,0.0254,0.3572
"age",3,7,2030,3150,0.08041,0.23763,0.23763,-0.2181,-0.1303,0.0878,11.8634,12.135,1.0229,2.7617,2.3871,0.3746,0.3384
"age",3,8,2030,2916,0.0756,0.21727,0.21727,-0.2181,-0.1731,0.045,11.8634,12.0762,1.0179,2.7617,2.4991,0.2626,0.348
"age",3,9,2030,3123,0.0624,0.17783,0.17783,-0.2181,-0.167,0.0511,11.8634,11.8453,1.0015,2.7617,2.4946,0.2671,0.3509
"age",3,10,2030,1717,0.11422,0.33413,0.33413,-0.2181,-0.0985,0.1196,11.8634,11.9631,1.0084,2.7617,2.479,0.2826,0.3418
"age",3,11,2030,2491,0.03989,0.11162,0.11162,-0.2181,-0.0674,0.1507,11.8634,12.2526,1.0328,2.7617,2.3721,0.3895,0.3574
"age",3,12,2030,4352,0.04971,0.14601,0.14601,-0.2181,-0.1047,0.1134,11.8634,12.0467,1.0154,2.7617,2.4348,0.3268,0.3405
"age",3,13,2030,2297,0.04934,0.1362,0.1362,-0.2181,-0.3438,0.1257,11.8634,11.402,1.0405,2.7617,2.7327,0.029,0.3623
"age",3,14,2030,3437,0.05576,0.16205,0.16205,-0.2181,-0.1166,0.1015,11.8634,11.8175,1.0039,2.7617,2.469,0.2927,0.3441
"age",3,15,2030,2576,0.05829,0.16836,0.16836,-0.2181,-0.1226,0.0955,11.8634,12.1462,1.0238,2.7617,2.3826,0.3791,0.3462
"age",3,16,2030,1231,0.03623,0.09592,0.09592,-0.2181,-0.3728,0.1547,11.8634,10.9006,1.0883,2.7617,2.625,0.1367,0.3777
"age",4,5,2876,1909,0.02007,0.053,0.053,-0.1361,-0.2566,0.1205,12.2168,12.0746,1.0118,2.4794,2.4571,0.0223,0.3787
"age",4,6,2876,1585,0.02659,0.01879,0.01879,-0.1361,-0.1646,0.0285,12.2168,11.3157,1.0796,2.4794,2.7363,0.2568,1.4151
"age",4,7,2876,3150,0.02096,0.06243,0.06243,-0.1361,-0.1303,0.0058,12.2168,12.135,1.0067,2.4794,2.3871,0.0924,0.3357
"age",4,8,2876,2916,0.01555,0.0417,0.0417,-0.1361,-0.1731,0.037,12.2168,12.0762,1.0116,2.4794,2.4991,0.0197,0.3729
"age",4,9,2876,3123,0.01012,0.00078,0.00078,-0.1361,-0.167,0.0309,12.2168,11.8453,1.0314,2.4794,2.4946,0.0151,NA
"age",4,10,2876,1717,0.05165,0.15515,0.15515,-0.1361,-0.0985,0.0376,12.2168,11.9631,1.0212,2.4794,2.479,4e-04,0.3329
