"set","n","tau_clin","n_acceptable","method","tau","violation","violation_se","sensitivity","sensitivity_se"
"Set1_Gaussian",25,4.520839,4,"SMD",0.0375566084723311,0.233,0.00945280381685773,0.08875,0.00327860012047825
"Set1_Gaussian",25,4.520839,4,"SMD",0.0450679301667973,0.281,0.0100508457355588,0.107875,0.00357206063603349
"Set1_Gaussian",25,4.520839,4,"SMD",0.0525792518612635,0.316,0.0103957683698705,0.124625,0.00377904481152314
"Set1_Gaussian",25,4.520839,4,"SMD",0.0600905735557298,0.358,0.0107199813432673,0.143125,0.00398333932618099
"Set1_Gaussian",25,4.520839,4,"SMD",0.067601895250196,0.3905,0.010908935557606,0.1595,0.0041531463976123
"Set1_Gaussian",25,4.520839,4,"SMD",0.0751132169446622,0.4225,0.0110452195541782,0.17675,0.00431259420186968
"Set1_Gaussian",25,4.520839,4,"SMD",0.0826245386391284,0.4625,0.0111488508376424,0.19575,0.00450663053178314
"Set1_Gaussian",25,4.520839,4,"SMD",0.0901358603335946,0.4945,0.0111796634564731,0.212875,0.0046718831521668
"Set1_Gaussian",25,4.520839,4,"SMD",0.0976471820280609,0.5305,0.0111595194789023,0.230375,0.00479693179933799
"Set1_Gaussian",25,4.520839,4,"SMD",0.105158503722527,0.567,0.0110795081118252,0.249625,0.00494500300176855
"Set1_Gaussian",25,4.520839,4,"SMD",0.112669825416993,0.5925,0.0109873506815792,0.269375,0.00508211862194302
"Set1_Gaussian",25,4.520839,4,"SMD",0.12018114711146,0.6115,0.0108988015396189,0.2865,0.00521321637763099
"Set1_Gaussian",25,4.520839,4,"SMD",0.127692468805926,0.637,0.0107524648337021,0.30325,0.00529631652660601
"Set1_Gaussian",25,4.520839,4,"SMD",0.135203790500392,0.6615,0.0105810620922476,0.3175,0.00535052567510894
"Set1_Gaussian",25,4.520839,4,"SMD",0.142715112194858,0.688,0.010359922779635,0.3335,0.00540672035526159
"Set1_Gaussian",25,4.520839,4,"SMD",0.150226433889324,0.7055,0.0101923929967403,0.349375,0.00544143176815625
"Set1_Gaussian",25,4.520839,4,"SMD",0.157737755583791,0.726,0.00997306372184596,0.364625,0.00552063671033514
"Set1_Gaussian",25,4.520839,4,"SMD",0.165249077278257,0.746,0.00973355022589394,0.3795,0.00557526905180369
"Set1_Gaussian",25,4.520839,4,"SMD",0.172760398972723,0.7665,0.00945985597141944,0.395375,0.00565784231730613
"Set1_Gaussian",25,4.520839,4,"SMD",0.180271720667189,0.7845,0.00919401299759795,0.413125,0.00572752059686388
"Set1_Gaussian",25,4.520839,4,"SMD",0.187783042361655,0.806,0.00884205858383668,0.427625,0.00579247828545779
"Set1_Gaussian",25,4.520839,4,"SMD",0.195294364056122,0.8215,0.0085626441593704,0.441875,0.00588547935069863
"Set1_Gaussian",25,4.520839,4,"SMD",0.202805685750588,0.836,0.0082796135175502,0.455375,0.00589660323300627
"Set1_Gaussian",25,4.520839,4,"SMD",0.210317007445054,0.8495,0.00799530330881825,0.473875,0.00588318512266102
"Set1_Gaussian",25,4.520839,4,"SMD",0.21782832913952,0.8625,0.00770044641563072,0.489875,0.00592362787382023
"Set1_Gaussian",25,4.520839,4,"SMD",0.225339650833987,0.875,0.00739509972887452,0.504625,0.00591121220119021
"Set1_Gaussian",25,4.520839,4,"SMD",0.232850972528453,0.8845,0.00714701860918243,0.517875,0.005906531739312
"Set1_Gaussian",25,4.520839,4,"SMD",0.240362294222919,0.8925,0.00692617318582202,0.5305,0.00592694061046675
"Set1_Gaussian",25,4.520839,4,"SMD",0.247873615917385,0.901,0.00667828570817392,0.544875,0.00594316768966685
"Set1_Gaussian",25,4.520839,4,"SMD",0.255384937611851,0.9065,0.0065099059132986,0.559,0.00596946396253466
